model,roc_auc,pr_auc,threshold,weighted_accuracy,weighted_precision,weighted_recall,weighted_specificity,brier_score
Tidymodels logistic regression,0.9084537753268397,0.7024686152977897,0.2,0.8704283108755081,0.503187855378311,0.7615161561436709,0.886822675788775,0.06822382716383073
XGBoost gradient boosting,0.9080259266017833,0.6875359001689686,0.2,0.8676189597361975,0.49603105802943326,0.7388538663738103,0.8870017543735047,0.07080194994698098
Ranger random forest,0.9070485757792359,0.6783860990128413,0.2,0.8566313551663471,0.47136247197153874,0.7884557807184516,0.8668937106254077,0.06978102843159122
