model,weighted_rmse_dollars,weighted_mae_dollars,weighted_r_squared,avg_observed_expenditure,avg_predicted_expenditure
Ranger random forest,20356.497433334684,5265.56473188354,0.8148502080717456,8608.786239093437,5219.651075258447
Log-linear regression,128412.77772909624,16044.456138178326,0.58079737280695,8608.786239093437,16791.92596524311
