model,threshold,accuracy,precision,recall,specificity,auc
Logistic regression,0.2,0.8423791821561338,0.5084226646248086,0.7632183908045977,0.857649667405765,0.9070938145118128
Weighted logistic regression,0.2,0.8394052044609666,0.502262443438914,0.7655172413793103,0.8536585365853658,0.9045574330351454
Weighted decision tree,0.2,0.7921933085501859,0.4261904761904762,0.8229885057471265,0.7862527716186253,0.8449606239009099
