term,estimate,std.error,statistic,p.value,odds_ratio,conf_low,conf_high
insurance_status65+ Uninsured,-11.29529866134508,0.7159729131017969,-15.776153615100684,2.645672272166128e-38,1.243123052023468e-5,3.055383103654734e-6,5.057810657601813e-5
(Intercept),-5.293131020388397,0.4833664710704446,-10.950554780240413,1.1526465447441506e-22,0.005025999092668063,0.001948823730218708,0.012962007023931969
inpatient_discharges,2.4578461555947237,0.1470669242569031,16.71243325454504,2.313506774259453e-41,11.679628327227109,8.754737514268529,15.581702779762148
insurance_status<65 Uninsured,-2.023230687382325,0.8401785407627671,-2.4080961238851786,0.016838284677673475,0.13222758828313344,0.02547696350004815,0.6862723300263316
general_healthPoor,1.0015048222943017,0.30525103144259996,3.280921992503166,0.0011984043750221424,2.72237543886231,1.4966253406497512,4.952026287957393
general_healthFair,0.9037401113124012,0.19086533098446037,4.734962115178376,3.867511655012452e-6,2.4688195250403213,1.6983277026480503,3.5888655868457073
insurance_status65+ Medicare Only,-0.7716128867688694,0.19537201735602858,-3.9494544674877914,1.0468289500082387e-4,0.4622668825778444,0.3152018534481859,0.6779486490658149
insurance_status65+ No Medicare Any Coverage,0.6324783175774181,0.5595361459853411,1.130361857970098,0.2595219640383957,1.882269665529475,0.6286299384572652,5.635969394755916
insurance_status65+ Medicare and Private,-0.6012299593017223,0.1560525894147206,-3.852739397382967,1.5219283269515436e-4,0.5481370350682672,0.4036960504480911,0.7442584808048905
race_ethnicityNon-Hispanic Asian,-0.501612077445016,0.3223947329526633,-1.5558941452020152,0.12113249529546206,0.6055536730170902,0.321902764052937,1.1391491215781726
general_healthGood,0.4650692324471611,0.16415979452807355,2.833027622775368,0.005027729670547804,1.592124411740768,1.1540944784847949,2.1964060912836985
er_visits,0.3177064661985449,0.05894650480866883,5.38974222864902,1.7706592529272482e-7,1.3739728945427478,1.2240576917640789,1.5422488070946465
general_healthVery Good,0.2937632777578469,0.15936134037413002,1.8433785576111723,0.06658314792918181,1.3414663111648981,0.9815866858740189,1.8332887862960674
insurance_status65+ Medicare and Other Public,-0.290685102200442,0.23560888089109971,-1.2337612279343535,0.21857341227307062,0.7477511061261851,0.47119723778552197,1.1866192580853736
poverty_categoryPoor/Negative,-0.2623654430335122,0.1756286493721278,-1.4938647195173929,0.13660581377034883,0.7692298626420564,0.545202716932939,1.085311138779778
office_visits,0.2433822941316295,0.015582562109975471,15.618888114415007,8.659351229127868e-38,1.2755561685576362,1.237187269979356,1.3151150020906583
race_ethnicityNon-Hispanic White,0.21857166018009017,0.16360021886715706,1.3360108054474533,0.18288946302576384,1.2442981800640633,0.9029530061822152,1.7146827689926303
race_ethnicityNon-Hispanic Black,0.21555724958546196,0.1976164454649697,1.0907859873619299,0.276528641380044,1.240553002035299,0.8421720223519997,1.8273840854517893
insurance_status<65 Public Only,-0.20997656102652326,0.186521442501082,-1.1257502526837107,0.2614652894647264,0.8106032454554924,0.5623906362062713,1.1683651526907308
outpatient_visits,0.20756458294441063,0.017663751418746924,11.750877716956422,3.392052174215825e-25,1.2306771950304711,1.1887990907850765,1.2740305490710433
chronic_count,0.1303351201912572,0.03993420791422197,3.2637462215656043,0.0012699409104139335,1.1392100916657646,1.053443237281846,1.2319597174516739
regionNortheast,0.12171368114942015,0.14615065156912915,0.8327960213837956,0.40583897824010495,1.129430678187804,0.848112831585809,1.5040612632243866
dental_visits,0.11265563714995963,0.027774917891820714,4.056020528619996,6.874068592234247e-5,1.1192464396837487,1.0599447647946632,1.1818659182560596
regionSouth,0.08331171172118572,0.12422297493323715,0.6706626674007853,0.5031202383935128,1.0868805491574873,0.8520029249251633,1.3865085360365903
regionWest,-0.07921516377120351,0.126707321581347,-0.6251822134867463,0.5324822126179085,0.923841125918088,0.7206789580156605,1.184275489723753
cost_related_barrier,0.0747134796844683,0.11251914779573194,0.6640068037140103,0.5073627974945925,1.0775753594172404,0.8643097651139515,1.3434635382953297
poverty_categoryNear Poor,0.07213465782193745,0.193118606606737,0.3735251568422461,0.7091077698770565,1.0748000645554332,0.7361084569470534,1.569327410745199
home_health_days,0.07112105765301313,0.009041714457046471,7.865881851376806,1.5005781214898655e-13,1.07371119895884,1.0548507601172796,1.0929088572126102
sexMale,0.06111117588565093,0.09192576075686565,0.6647883616354704,0.5068636412065959,1.0630170894843374,0.887751590814922,1.272884604462888
poverty_categoryLow Income,-0.03291138059389381,0.16716062307952187,-0.19688476859910464,0.8440946568305787,0.9676243060809131,0.6972953580373431,1.3427549558825917
age,0.0070234072923905525,0.0048554469639113685,1.4465006712240462,0.1494222966920866,1.007048129260982,0.9975098368560925,1.0166776278060419
education_years,0.0037906620006125675,0.02312934447822471,0.16388972909203345,0.8699644251852661,1.0037978556465021,0.9593082250557399,1.0503507722369099
poverty_categoryMiddle Income,-0.001283465587978715,0.11230617119194015,-0.011428273035728114,0.9908918376914022,0.9987173577017201,0.8013932038810642,1.2446279251486343
race_ethnicityNon-Hispanic Other/Multiple,-0.0012312305789007392,0.3016959169525297,-0.0040810316272674885,0.9967474169201263,0.9987695270744879,0.5529126603564757,1.8041557731187752
