target,model,roc_auc,pr_auc,threshold,weighted_accuracy,weighted_precision,weighted_recall,weighted_specificity,brier_score,model_rank,is_best_model
Next-year high medical expenditure,Prospective random forest,0.8345977043909852,0.610831266677171,0.2,0.8390069666641476,0.46369345392370653,0.6667184916221566,0.8684079162497228,0.08631949586349577,3,FALSE
Next-year high medical expenditure,Prospective XGBoost,0.8327222989932045,0.587893402117025,0.2,0.846024495831373,0.4782994500372408,0.6200791623855479,0.8845819637996609,0.08819798466042568,4,FALSE
Next-year high medical expenditure,Prospective logistic regression,0.8250937702698883,0.5706640334548282,0.2,0.8464774395278306,0.4788028120619466,0.6003795169803564,0.8884739376230725,0.09003935894614556,5,FALSE
Next-year high Rx out-of-pocket burden,Prospective random forest,0.8834832702020181,0.6160275652677659,0.2,0.8570260753141238,0.48961696646961694,0.7396971209843994,0.8759083405585845,0.07692249691071747,1,TRUE
Next-year high Rx out-of-pocket burden,Prospective XGBoost,0.8564551767676746,0.5725247953352829,0.2,0.8616284621305069,0.5007075739174414,0.6466430559464341,0.8962270101738813,0.08205285343528597,2,FALSE
Next-year high Rx out-of-pocket burden,Prospective logistic regression,0.7947443181818161,0.4689330824196495,0.2,0.821164287717555,0.3925892651936928,0.5301057138503955,0.8680056256024001,0.09209703641132272,6,FALSE
