target_share,targeted_rows,weighted_population_targeted,high_cost_capture_rate,precision,avg_total_expenditure
0.05,135,1578234.1035409996,0.2738133013058145,0.8607419126022643,44521.306799528655
0.1,269,3087210.5458359993,0.4508744998868919,0.7245681796824974,35548.99591716933
0.2,538,6164207.464327002,0.7004602457406459,0.5637623621344828,27835.46299856013
0.3,807,9869698.017798012,0.8354102940348598,0.41993859476175766,21991.03183884012
